Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Serpinf2	19.73949366080343	-2.6145481614262454	0.27923615925281103	1.944686069811301e-21	3.8216720153471864e-20	TRUE
Rigi	509.19397086801877	-2.6147467853356865	0.15380077762623295	2.579334564141414e-65	1.7385484912929293e-63	TRUE
Havcr2	232.47457388766	-2.6148866594990854	0.13784549253007627	8.181863355363333e-81	7.540672431187921e-79	TRUE
Ptger4	104.36779077159825	-2.6158815517893688	0.21919271534781792	2.208937813420828e-33	6.494507269146132e-32	TRUE
Clec4a2	66.69612334278418	-2.6163095703518273	0.26313182188890055	8.021484030642055e-24	1.7349148411101301e-22	TRUE
C1qa	3519.958294566648	-2.6191209870476944	0.1858184742152675	1.2182048074514894e-45	5.019537327053766e-44	TRUE
Anxa4	266.11885666232007	-2.619234747659571	0.15096277416631024	5.8385579766670615e-68	4.158821423127515e-66	TRUE
Aspg	212.53575105166303	-2.620125184312082	0.38244644625321644	2.2171782330086e-12	2.39654784592313e-11	TRUE
Gpa33	0.6764624249798312	-2.6227870013333505	0.7137197740712248	3.806559972825382e-5	1.540084647668825e-4	TRUE
Mgp	724.8239836196764	-2.623735040023194	0.39388773022271106	8.2544976429543e-12	8.506917242259613e-11	TRUE
Trav1	0.15297083481300028	-2.623949639942594	3.807495634626305	0.33502256242121653	0.45379780800666286	FALSE
Anxa1	102.03590296688108	-2.625190866829467	0.5435620584747569	4.025537041307765e-7	2.302346159896893e-6	TRUE
Cd79a	18.82696324730912	-2.6259860932516337	0.29235261183799366	7.165053586736981e-20	1.3164109844468756e-18	TRUE
Samd3	35.00491808576412	-2.628889272933859	0.544090753850182	3.903359461334077e-7	2.235866479881366e-6	TRUE
Tnfrsf9	49.171657764417304	-2.6299088495786087	0.26951076841937827	4.8489413233003377e-23	1.0156687855298853e-21	TRUE
Lrg1	65.05035450679455	-2.639369864172357	0.3391483638624029	2.1305638038803087e-15	3.0275727307499916e-14	TRUE
Gcnt1	211.15129836454489	-2.6425351376230704	0.15020324842217606	7.7797813110055206e-70	5.7220671662053636e-68	TRUE
Nfkbie	150.33887330006408	-2.6474864115595427	0.16821022227884402	2.330639844815418e-56	1.2470580022732734e-54	TRUE
Igkv12-89	0.3443327634745646	-2.649098048756435	1.1613155773704527	0.015964944598817307	0.035572177722646016	TRUE
Ighm	942.2012594815745	-2.652216598054879	0.34132633549159613	2.4126036649413126e-15	3.409048232438976e-14	TRUE
I830077J02Rik	112.33883150415286	-2.6551584613433783	0.1752512182120393	2.11839543322543e-52	1.0286745996178541e-50	TRUE
Trav4n-4	1.860265407246502	-2.658323573587862	0.4933123495610761	1.1969597513829747e-8	8.422359359996125e-8	TRUE
Meiob	1.0028558290140765	-2.6600151789132895	0.6591318240728538	7.785519150340632e-6	3.557923950914622e-5	TRUE
Tagln2	775.5419074618792	-2.6602429692180527	0.16606362233322278	2.8064856961248167e-58	1.5763792790671235e-56	TRUE
C1qb	3610.625516766245	-2.667335052467249	0.1799725266831384	2.9853853277211193e-50	1.39854773236396e-48	TRUE
