Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
Ace	849.4190322479196	-0.5282392238864344	0.3092965824674948	0.0674488492364332	0.12277267357990017	FALSE
Rtkn2	178.5305949445515	-0.5283279081077145	0.21595962489069545	0.011515988528478025	0.02665071445864854	TRUE
Pla2g15	1418.5104645052313	-0.5283989034210148	0.07583150191785831	2.677954995002265e-12	2.8808110427418365e-11	TRUE
5930430L01Rik	165.62609746209299	-0.5284072718646253	0.13295693387076615	5.6436222310050366e-5	2.2127624583450899e-4	TRUE
Gm13446	124.29547596740021	-0.5285425150810926	0.39890933348217006	0.138499991056025	0.22402075917228115	FALSE
0610040J01Rik	175.14752465868673	-0.5285724657983962	0.11165331804959736	1.7771125886927514e-6	9.119818693791437e-6	TRUE
Vmn1r78	0.5735593283959826	-0.5286407816409325	0.6476951435857473	0.2856741213491785	0.40075308524257275	FALSE
Or8d4	0.244265461103917	-0.5288360000691047	0.7850866716005049	0.4703387519305632	0.5865671105457325	FALSE
Wnt7b	1730.8765487949556	-0.5288988289577465	0.23447423512726837	0.01840363319336664	0.04030983000351331	TRUE
Ablim1	5040.1159579043815	-0.5291171783838599	0.10678195607756581	5.369897672080751e-7	3.0109830999648216e-6	TRUE
A530072M11Rik	26.683530513608268	-0.5291545106415959	0.1172245203574359	5.009568655980997e-6	2.367930924263155e-5	TRUE
Gm24622	0.31032311443970834	-0.529468318108841	0.8608731898779381	0.3606395541007877	0.47974791631882796	FALSE
9530020I12Rik	8.732156155946033	-0.5294937308085637	0.26963596031148906	0.03805807108353164	0.07530386249575521	FALSE
Gm2897	108.10931776297534	-0.5295940033755807	0.14551316564652395	2.187724254861325e-4	7.611527530781005e-4	TRUE
Or4c116	14.604689531456833	-0.5296632686356885	0.14481925536330215	1.9383417767851712e-4	6.817407682213265e-4	TRUE
4930513D17Rik	0.8927148510922718	-0.5298172312051964	0.4901798204777479	0.18399917067759994	0.2815601297031856	FALSE
